Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse RMSE,0.0279,2.6522,1.8635,1,2,2
AutoSARIMAX with covariates,0.028,2.6135,1.8635,2,1,1
Weighted Ensemble: Inverse Variance,0.028,2.6637,1.8705,3,4,4
Weighted Ensemble: Simple,0.0281,2.6697,1.872,4,5,5
AutoSARIMA,0.0281,2.6554,1.8702,5,3,3
Naive,0.0284,2.7362,1.8936,6,7,6
Exponential Smoothing,0.0289,2.7192,1.9197,7,6,7
AutoTheta,0.0298,2.7889,1.9813,8,8,8
Weighted Ensemble: Inverse Error Covariance,0.0299,2.8494,1.9932,9,9,9
TiDE,0.0304,3.0438,2.0194,10,12,10
Meta Ensemble: Random Forest,0.0307,2.8616,2.0491,11,10,11
Meta Ensemble: SVR,0.0308,2.9195,2.0505,12,11,12
XGBoostCov with covariates,0.0355,3.4526,2.3881,13,13,13
XGBoost,0.0367,3.5545,2.4714,14,14,14
STL,0.044,4.2023,2.9281,15,15,15
