Data,start,end,count,mean,std,min,25%,50%,75%,max,NaN,freq
RW,2004-01,2023-12,240.0,68.2154950160461,10.103960936385322,40.0,61.58842616021457,68.49217062242991,74.7995363077946,90.0,0,MS
TrendSeasRW,2004-01,2023-12,240.0,65.21273473335654,9.860455029792611,40.0,59.4424268500754,65.27861756029873,70.04572317499532,90.0,0,MS
WeakSARIMA,2004-01,2023-12,240.0,65.43463174484806,9.93237907370097,40.0,59.69543672610505,65.62621547297795,70.11746906677202,90.0,0,MS
StrongSARIMA,2004-01,2023-12,240.0,65.6655271394456,10.656031001297517,40.0,58.53135046537967,66.6471291282044,70.41346236426878,90.0,0,MS
SARIMAX,2004-01,2023-12,240.0,66.78597031812923,12.470081549894902,40.0,56.642861556144624,68.10572427561937,75.7462625376827,90.0,0,MS
x1,2004-01,2023-12,240.0,360.26807901706,73.69774922860178,200.0,308.9508053446392,381.1538214872627,418.60736660705805,500.0,0,MS
x2,2004-01,2023-12,240.0,57.956552840762726,8.979727839115302,40.0,50.990506740241685,56.779285378679134,64.3448422780951,80.0,0,MS
x3,2004-01,2023-12,240.0,923.1682999291188,12.48458476269315,900.0,914.4590893780097,921.0045211560409,933.8609897807906,950.0,0,MS
bid_close,2020-01-01 00:00:00,2024-02-06 00:00:00,101921.0,1.1142713133701596,0.0621351259729327,0.95386,1.07325,1.10153,1.17454,1.23462,41792,15T
bid_close_agg,2020-01-02,2024-02-06,1069.0,1.114359616463985,0.06216595613813173,0.95949,1.07318,1.10161,1.17439,1.23376,0,B
