,Model,MAE,RMSE,MAPE,sMAPE,MAE Ranking,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Weighted Ensemble: Inverse RMSE,1.9847955785589013,2.614643539676639,0.0275095182922576,1.8448129878711461,1,1,1,1
1,Weighted Ensemble: Simple,1.9987122296822464,2.640993507834675,0.027692741325375254,1.85708349373644,2,2,2,2
2,Weighted Ensemble: Inverse Variance,2.0058789804811235,2.642663868358635,0.027796493945186868,1.8650930802599677,3,3,3,3
3,Exponential Smoothing,2.073113475672101,2.706564346524851,0.028698270343185513,1.923401123429775,4,4,4,4
4,Naive,2.090016675236948,2.747925229849155,0.028984684703211326,1.9411800629592901,5,6,5,5
5,AutoSARIMA,2.111370762475592,2.7305804774325533,0.02917465460449375,1.9535975783349595,6,5,6,6
6,Naive (drift),2.1175021538860213,2.748343448208751,0.029382367362228125,1.9636718240644184,7,7,7,7
7,Meta Ensemble: RandomForest,2.1739071974520203,2.7933332364667516,0.030054535497865877,2.01560917877166,8,8,8,8
8,Meta Ensemble: Ridge,2.2025070824421547,2.88831342045639,0.030599186463650115,2.0461409425523045,9,9,9,9
9,Weighted Ensemble: Inverse Error Covariance,2.243607817653424,2.9977267386414646,0.031195366831743218,2.0892283837811982,11,12,10,10
10,XGBoost with covariates,2.2971790922433053,3.1303661311251862,0.03159100565342541,2.131706106087868,13,13,11,12
11,XGBoost,2.2381828036431424,2.98684786650859,0.0316093325485855,2.1357538423734517,10,11,12,13
12,Meta Ensemble: SVR,2.275537500098392,2.9421216411529265,0.031788004501940206,2.123269069870713,12,10,13,11
13,Meta Ensemble: Linear Regression,2.421144351580158,3.1706185139508127,0.03401190179838545,2.288445952224265,14,14,14,14
14,STL,3.5297551144570964,4.620505740634292,0.049141734596665786,3.266420727394857,15,15,15,15
15,Meta Ensemble: MLP,13.82716846692718,15.867940307964021,0.19513299390497527,11.994620549788253,16,16,16,16
