,Model,RMSE,MAPE,sMAPE,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Weighted Ensemble: Inverse RMSE,2.811203428576019,0.028420479568806178,1.9058860934981934,1,1,1
1,Weighted Ensemble: Inverse Variance,2.8289613494436527,0.028457242189098834,1.908819541229045,2,2,2
2,Weighted Ensemble: Simple,2.8493492569511094,0.028489051975142475,1.910962326508387,4,3,3
3,Exponential Smoothing,2.8376485548643084,0.02907236767368941,1.948458066401515,3,4,4
4,Naive,2.883141725142562,0.029241732224386568,1.95776397556173,6,5,5
5,Naive (drift),2.8820035387374965,0.02961694900959363,1.9787570678790696,5,6,6
6,Meta Ensemble: Ridge,2.937377236436885,0.02993926602892166,2.0089619322138645,8,7,7
7,Meta Ensemble: SVR,3.0791984945637565,0.030364065186982855,2.0461299184499833,10,8,9
8,AutoSARIMA,2.883280720745087,0.030441502634872972,2.0371018490832924,7,9,8
9,Meta Ensemble: Linear Regression,3.046753705534617,0.03113619253687085,2.0830717920180803,9,10,10
10,XGBoost,3.3422904730716456,0.032359580104688805,2.1872984674292018,12,11,11
11,Meta Ensemble: RandomForest,3.3269045514173694,0.032476701702381754,2.1876626178457412,11,12,12
12,Weighted Ensemble: Inverse Error Covariance,3.5391777503972204,0.034571095139987434,2.346371969655374,13,13,13
13,STL,4.901733997973055,0.05024453162748219,3.3607800945567634,14,14,14
14,Meta Ensemble: MLP,15.610222497619292,0.17826391652856952,11.014219464622638,15,15,15
